Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
10-3-13.cnf 1e+100 1e+100 1e+100 1e+100 2238.41 1e+100 
10-4-10.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
1mod8.rules.7-7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180321-110704973-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180321-110706599-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 4379.74 
20180321-110707239-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180321-140823961-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1328.01 1e+100 1e+100 
20180321-140824282-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180321-140826713-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1637.68 1e+100 1e+100 
20180321-140827428-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180321-140833987-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180322-164223076-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180322-164224543-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180322-164226378-p-cnf-320-1120.cnf 1e+100 2241.25 332.542 1979.36 280.876 1e+100 
20180322-164226661-p-cnf-320-1120.cnf 41.5611 1141.28 1e+100 1052.38 1e+100 47.874 
20180322-164238439-p-cnf-320-1120.cnf 1e+100 1e+100 2428.51 1e+100 2117.66 1e+100 
20180322-164241329-p-cnf-320-1120.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
20180322-164241842-p-cnf-320-1120.cnf 1e+100 168.321 1e+100 1e+100 1e+100 1e+100 
20180322-164245263-p-cnf-320-1120.cnf 492.603 1e+100 1e+100 1e+100 1e+100 487.199 
20180326-095801070-p-cnf-320-1120.cnf 1e+100 1e+100 1635.8 1e+100 1e+100 1e+100 
20180326-095804286-p-cnf-320-1120.cnf 1e+100 674.533 1e+100 616.352 1e+100 1e+100 
20180326-095804936-p-cnf-320-1120.cnf 1e+100 165.287 1e+100 150.675 1e+100 1e+100 
20180326-095805836-p-cnf-320-1120.cnf 5.2674 6.29648 4.56698 5.42046 4.40624 4.55447 
5or7mod8.rules.7-7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
6-3-8.cnf 564.579 93.4287 97.0026 136.708 169.386 1473.53 
6-4-6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
6-4-7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
6-5-6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
7-4-7.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
7-5-6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
8-4-10.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
8-4-8.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
8-4-9.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
8-5-6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
9-4-10.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
9-4-9.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
C3-2-31.cnf 59.6566 70.8744 57.8041 70.3143 57.2098 58.5072 
CNP-5-0.cnf 1470.95 1e+100 1723.81 119.167 398.9 588.447 
CNP-5-100.cnf 2465.03 885.512 1e+100 1e+100 982.07 397.045 
CNP-5-1000.cnf 686.605 1053.2 814.703 612.349 422.703 277.547 
CNP-5-1100.cnf 649.517 4035.42 2024.67 1370.15 329.359 148.204 
CNP-5-1200.cnf 253.661 906.247 614.168 99.7611 769.246 256.438 
CNP-5-1300.cnf 219.475 244.538 694.9 2324.01 96.9007 1727.54 
CNP-5-1400.cnf 157.42 99.8202 490.797 2007.7 562.148 510.644 
CNP-5-1500.cnf 664.768 264.725 182.034 1025.94 69.5167 365.597 
CNP-5-1600.cnf 58.842 70.8909 591.968 411.877 726.602 608.062 
CNP-5-1700.cnf 43.5076 52.9836 50.1245 347.587 103.645 97.2684 
CNP-5-1800.cnf 114.679 105.966 67.2496 491.999 71.7916 700.087 
CNP-5-1900.cnf 204.368 251.685 182.007 83.3002 91.4195 382.09 
CNP-5-200.cnf 1e+100 599.629 751.109 1e+100 1e+100 1e+100 
CNP-5-300.cnf 3339.65 1e+100 434.224 356.524 3341.11 1e+100 
CNP-5-400.cnf 639.252 4734.61 1e+100 280.66 311.606 1e+100 
CNP-5-500.cnf 1e+100 3461.83 1643.11 659.654 1e+100 614.688 
CNP-5-600.cnf 1629.89 1162.46 2367.84 1e+100 1523.99 1e+100 
CNP-5-700.cnf 61.7657 1285.16 1778.12 3313.49 1361.14 1073.63 
CNP-5-800.cnf 2907.34 955.194 4135.81 174.225 1e+100 484.809 
CNP-5-900.cnf 1329.83 981.777 1348.69 1459.28 835.731 161.785 
Cake-8-16.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Cake-9-19.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Cake-9-20.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Karatsuba4477457x5308417.cnf 127.871 120.073 590.618 594.841 606.995 98.3612 
Karatsuba6972593x13466917.cnf 355.89 394.877 507.636 289.426 119.893 465.175 
Karatsuba7654321x1234567.cnf 264.17 175.794 449.323 279.86 374.359 373.638 
Nb11T118.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb13T165.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb13T166.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb14T194.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb27T6.cnf 387.012 350.419 343.303 497.136 428.274 471.905 
Nb29T6.cnf 390.093 458.275 436.45 443.891 329.756 358.621 
Nb37T6.cnf 897.26 880.022 1043.33 1051.01 961.533 871.56 
Nb39T6.cnf 922.25 1226.48 1126.13 1226.18 1058.7 1109.69 
Nb42T6.cnf 1230.42 1605.21 1315.57 1202.32 1218.19 1062.05 
Nb44T6.cnf 1260.59 1444.78 1099.43 1714.81 1352.7 1498.19 
Nb45T6.cnf 1429.27 1723.09 1359.2 1470.32 1404.55 1849.2 
Nb49T6.cnf 1587.42 1889.08 1836.66 1757.14 1660.81 2299.64 
Nb51T6.cnf 1738.86 1844.25 1845.17 2285.57 1960.94 2316.93 
Nb52T6.cnf 1776.51 2353.93 2625.29 1967.58 1702.03 2007.26 
Nb54T6.cnf 2422.61 2978.82 2123.9 2661.76 2878.4 2877.77 
Nb8T60.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb8T61.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
Nb8T62.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
