Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
g2-T58.2.0.cnf 227.688 304.424 228.345 352.773 295.591 285.034 
g2-T65.2.0.cnf 216.546 259.076 187.06 268.251 274.047 286.624 
g2-T65.2.1.cnf 569.161 842.146 650.29 965.398 822.52 1025.53 
g2-T75.2.0.cnf 198.381 204.441 170.37 218.448 209.578 229.022 
g2-T81.2.1.cnf 662.523 918.963 658.516 972.6 984.145 789.28 
g2-T83.2.1.cnf 632.362 571.422 442.568 980.468 980.426 930.053 
g2-T85.2.1.cnf 524.278 514.416 500.599 758.346 600.949 751.716 
g2-T88.2.1.cnf 558.757 480.948 430.414 705.242 698.081 651.63 
g2-T89.2.1.cnf 450.223 557.41 508.264 735.479 611.187 595.723 
g2-T93.2.1.cnf 868.723 759.319 836.906 864.545 860.921 742.216 
g2-T96.1.1.cnf 2521.46 1e+100 2231.6 1e+100 1e+100 1e+100 
g2-T97.2.1.cnf 3011.91 3237.4 3409.57 1e+100 1e+100 4405.13 
g2-T99.2.0.cnf 40.8553 71.1596 43.9337 69.7732 41.0886 40.0058 
g2-T99.2.1.cnf 3868.54 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-UCG-15-10p1.cnf 494.88 588.474 420.1 474.508 453.531 425.01 
g2-UCG-20-10p1.cnf 1021.48 1269.47 930.136 468.722 386.342 841.291 
g2-UCG-20-5p1.cnf 287.295 359.628 232.71 244.134 185.276 419.263 
g2-UR-20-10p1.cnf 1579.84 2261.51 1781.02 1510.19 2251.96 1924.5 
g2-UR-20-5p1.cnf 459.777 488.238 462.131 678.899 620.721 396.888 
g2-UTI-20-10p1.cnf 526.096 908.014 526.774 1108.55 987.528 765.049 
g2-UTI-20-5p1.cnf 210.229 334.798 192.699 257.025 233.426 268.747 
g2-ak128astepbg1btisc.cnf 87.483 95.238 76.114 114.428 95.1097 70.8222 
g2-ak128astepbg2asisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128astepbg2msaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128astepbg2msisc.cnf 1e+100 3519.69 1e+100 1e+100 1e+100 1e+100 
g2-ak128astepmodasaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128astepmodbtisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128boothbg1btisc.cnf 52.7377 88.6753 55.127 74.7322 47.8026 55.4229 
g2-ak128boothbg2asisc.cnf 1e+100 1e+100 1e+100 4176.74 3393.68 1e+100 
g2-ak128boothbg2msaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128boothbg2msisc.cnf 1e+100 2989.77 4950.5 3760.34 3629.01 1e+100 
g2-ak128boothboothisc.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128boothdiagoaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
g2-ak128boothmodasaig.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
